Name,Component_1,Component_2
Betelginkgo,Betelgeuse,Ginkgo
Pleiadedar,Pleiades,Cedar
Helixypress,Helix Nebula,Cypress
Rigelmwood,Rigel,Elmwood
Sombreroak,Sombrero Galaxy,Oak
Hyadehorn,Hyades,Hawthorn
Triangularch,Triangulum,Larch
Vegalder,Vega,Alder
Whirlpoplar,Whirpool Galaxy,Poplar
Siriuswood,Sirius,Basswood
Oortcacia,Oort Cloud,Acacia
Denebony,Deneb,Ebony
Cartwhillow,Cartwheel Galaxy,Willow
Polariswood,Polaris,Ironwood
Craborwood,Crab Nebula,Hornbeam
Aldebaranyan,Aldebaran,Banyan
Pinwheelnut,Pinwheel Galaxy,Walnut
Antaresnut,Antares,Chestnut
Kuiperlpa,Kuiper Belt,Catalpa
Arcturuspruce,Arcturus,Spruce
Pegasafras,Pegasus,Sassafras
Capellaberry,Capella,Mulberry
Lyracacia,Lyra,Acacia
Polluxwood,Pollux,Boxwood
Scorpiumac,Scorpius,Sumac
Castorwood,Castor,Cottonwood
Dracodar,Draco,Cedar
Regulushua,Regulus,Joshua
Aquilnut,Aquila,Walnut
Spicamore,Spica,Sycamore
Cygnusswood,Cygnus,Sasswood
Proceyon,Procyon,Pecan
Perseusqoia,Perseus,Sequoia
Sagittalpa,Sagittarius,Catalpa
Tauruspen,Taurus,Aspen
Geminowan,Gemini,Rowan
Canceria,Cancer,Wisteria
Leogany,Leo,Mahogany
Virgoak,Virgo,Oak
Libraobab,Libra,Baobab
Ariescalyptus,Aries,Eucalyptus
Capricornia,Capricorn,Magnolia
Aquariusqoia,Aquarius,Sequoia
Piscesimmon,Pisces,Persimmon
Omeganolia,Omega Centauri,Magnolia
Beehivewood,Beehive Cluster,Olivewood
Pillarspress,Pillars of Creation,Cypress
Greatwillow,Great Wall,Willow
Localboobao,Local Bubble,Baobab
Termishoak,Termination Shock,Oak
Bowshocknut,Bow Shock,Chestnut
Stellarix,Stellar Wind,Tamarix
Heliopaulownia,Heliopause,Paulownia
Rochemewood,Roche Limit,Limewood
Eventhornbeam,Event Horizon,Hornbeam
Accretioak,Accretion Disk,Oak
Protoplanetree,Protoplanetary Disk,Planetree
Lagranginkgo,Lagrange Point,Ginkgo
Trojaniper,Trojan,Juniper
Gammarchwood,Gamma Ray Burst,Birchwood
Hypernowan,Hypernova,Rowan
Whitedwillow,White Dwarf,Willow
Redgianter,Red Giant,Red Alder
Superclusternut,Supercluster,Butternut
Filamenteakwood,Filament,Teakwood
Voidglass,Void,Douglass Fir
Greywallnut,Great Wall,Wallnut
Comettree,Comet,Peppertree
Asteroider,Asteroid Belt,Elder
Helixelkova,Helix Nebula,Zelkova
Orionwood,Orion Nebula,Redwood
Cassiopaple,Cassiopeia,Apple
Ursajortree,Ursa Major,Majortree
Ursaminorwood,Ursa Minor,Dogwood
Bristlecrab,Bristlecone Pine,Crab Nebula
Metasequoyasar,Metasequoia,Quasar
Monkeypleiades,Monkey Puzzle,Pleiades
Dragontree,Dragon Tree,Draco
Boojumbrero,Boojum,Sombrero Galaxy
Quiverwheel,Quiver Tree,Pinwheel
Joshuapiter,Joshua Tree,Jupiter
Wolleminebula,Wollemi Pine,Nebula
Dawndromeda,Dawn Redwood,Andromeda
Baldcygnuss,Bald Cypress,Cygnus
Zelkovega,Zelkova,Vega
Hornbeamstar,Hornbeam,Barnstar
Rowantares,Rowan,Antares
Basswoodburst,Basswood,Gamma Burst
Calabashea,Calabash,Cassiopeia
Neemeda,Neem,Andromeda
Salirius,Sal,Sirius
Tooniverse,Toon,Universe
Cassiapeia,Cassia,Cassiopeia
Yellowoodrion,Yellowwood,Orion
Blackwoodhole,Blackwood,Black Hole
Ironwoodsar,Ironwood,Quasar
Satinwhirl,Satinwood,Whirlpool
Poplarsar,Poplar,Pulsar
Cottonwoodway,Cottonwood,Milky Way
Sumacnova,Sumac,Supernova
Hazeleius,Hazel,Pegasus
Elderstar,Elder,Barnstar
Rigelbark,Rigel,Bark
Sirillow,Sirius,Willow
Altairix,Altair,Tamarix
Denebula,Deneb,Nebula
Polarispine,Polaris,Pine
Betelpine,Betelgeuse,Bristlecone
Rigellarch,Rigel,Larch
Vegamore,Vega,Sycamore
Altairnut,Altair,Chestnut
Arcturuscacia,Arcturus,Acacia
Capellaple,Capella,Apple
Polluxdogwood,Pollux,Dogwood
Castorong,Castor,Camphorwood
Regulusqoia,Regulus,Sequoia
Spicape,Spica,Grape
Procyonwood,Procyon,Sandalwood
Aldebaranyan,Aldebaran,Banyan
Antarespress,Antares,Cypress
Pleiadwood,Pleiades,Cedarwood
Hyadesmac,Hyades,Sumac
Beehivewood,Beehive,Olivewood
Orionniper,Orion,Juniper
Cassiopear,Cassiopeia,Pear
Dracoroak,Draco,Cork Oak
Lyralnut,Lyra,Walnut
Cygnust,Cygnus,Locust
Aquillow,Aquila,Willow
Perseusnut,Perseus,Butternut
Pegasuspen,Pegasus,Aspen
Andromelm,Andromeda,Elm
Triangulfir,Triangulum,Fir
Sombreruce,Sombrero,Spruce
Whirlpinecone,Whirlpool,Pine
