Name,Component_1,Component_2
Pleiadeiba,Pleiades,Ceiba
Pau Brasilica,Pau Brasil,Crab Nebula
Araucarina,Araucaria,Carina Nebula
Quebracho X-1,Quebracho,Cygnus X-1
Lapachomeda,Lapacho,Andromeda
Guanacastellum,Guanacaste,Magellanic Cloud
Trianguanum,Triangulum,Guanacaste
Jacarandromeda,Jacaranda,Andromeda
Ceibalaxy,Ceiba,Galaxy
Horsehead Brasil,Horsehead,Pau Brasil
Monkeypuzzle Void,Monkey Puzzle,Cosmic Void
Quebrachion,Quebracho,Orion
Lapachosar,Lapacho,Quasar
Rubber Rosette,Rubber Tree,Rosette Nebula
Cashewmeda,Cashew,Andromeda
Brazil Nutnova,Brazil Nut,Supernova
Cecropiades,Cecropia,Pleiades
Balsombrero,Balsa,Sombrero Galaxy
Rosewoodway,Rosewood,Milky Way
Ipe Helix,Ipe,Helix Nebula
Kapoksagittarius,Kapok,Sagittarius
Cedrella Cluster,Cedrella,Star Cluster
Alerce Lyra,Alerce,Lyra
Mahogalactica,Mahogany,Galactic Center
Pinwheelnut,Pinwheel,Brazil Nut
Tarantularch,Tarantula Nebula,Larch
Ceibomeda,Ceiba,Andromeda
Pau Brassiopeia,Pau Brasil,Cassiopeia
Araucarion,Araucaria,Orion
Quebrachole,Quebracho,Black Hole
Lapachoway,Lapacho,Milky Way
Guanasar,Guanacaste,Quasar
Jacaranebula,Jacaranda,Nebula
Ceiba Centauri,Ceiba,Alpha Centauri
Brazilbeehive,Brazil Nut,Beehive Cluster
Monkeypuzzar,Monkey Puzzle,Quasar
Quebrachomeda,Quebracho,Andromeda
Lapachydes,Lapacho,Hyades
Rubberway,Rubber Tree,Milky Way
Cashewsar,Cashew,Quasar
Nutmeda,Brazil Nut,Andromeda
Cecropiagalaxy,Cecropia,Galaxy
Balsanova,Balsa,Supernova
Rosettewood,Rosette,Rosewood
Ipegalaxy,Ipe,Galaxy
Kapoknebula,Kapok,Nebula
Cedrellaxy,Cedrella,Galaxy
Alercentauri,Alerce,Centaurus
Mahogacrab,Mahogany,Crab Nebula
Eaglebrasil,Eagle Nebula,Pau Brasil
Tarantuleia,Tarantula Nebula,Ceiba
Whirlpoolnut,Whirlpool,Brazil Nut
Araucagalaxy,Araucaria,Galaxy
Quebrachiades,Quebracho,Pleiades
Lapachomeda,Lapacho,Andromeda
Guanacasteroid,Guanacaste,Asteroid
Jacarandromeda,Jacaranda,Andromeda
Ceibulsar,Ceiba,Pulsar
Tadpolebrasil,Tadpole,Pau Brasil
Monkeynova,Monkey Puzzle,Supernova
Quebrachygnus,Quebracho,Cygnus
Lapachoacentauri,Lapacho,Alpha Centauri
Rubberhole,Rubber Tree,Black Hole
Cashewnova,Cashew,Supernova
Brazilbutterfly,Brazil Nut,Butterfly Cluster
Cecropiomeda,Cecropia,Andromeda
Balsagittarius,Balsa,Sagittarius
Rosewoodrion,Rosewood,Orion
Ipeleiades,Ipe,Pleiades
Kapoksombrero,Kapok,Sombrero Galaxy
Cedrellipse,Cedrella,Elliptical Galaxy
Alercegalaxy,Alerce,Galaxy
Mahogaring,Mahogany,Ring Nebula
Cartwheeiba,Cartwheel,Ceiba
Pau Brasilian,Pau Brasil,Cassiopeian
Araucarionebula,Araucaria,Orion Nebula
Quebrasar,Quebracho,Quasar
Lapachomega,Lapacho,Omega Centauri
Guanacastway,Guanacaste,Milky Way
Jacaranovae,Jacaranda,Supernova
Ceibachomeda,Ceiba,Andromeda
Sunflowerbrasil,Sunflower Galaxy,Pau Brasil
Monkeypuzzalaxy,Monkey Puzzle,Galaxy
Quebrachoxima,Quebracho,Proxima
Lapachosar,Lapacho,Quasar
Rubberbula,Rubber Tree,Nebula
Cashewcluster,Cashew,Star Cluster
Nutway,Brazil Nut,Milky Way
Cecropianebula,Cecropia,Nebula
Balsagara,Balsa,Sagittarius A*
Rosewoodraco,Rosewood,Draco
Ipelipse,Ipe,Ellipse
Kapokagoon,Kapok,Lagoon Nebula
Cedrellaneta,Cedrella,Planetary Nebula
Alercerion,Alerce,Orion
Mahogacarina,Mahogany,Carina
Trifidnut,Trifid Nebula,Brazil Nut
Tarantulacho,Tarantula,Lapacho
Ceibanova,Ceiba,Supernova
Pau Brasilion,Pau Brasil,Orion
Araucariades,Araucaria,Pleiades
Quebrachoelix,Quebracho,Helix
Lapacholia,Lapacho,Magnolia
Guanacasar,Guanacaste,Quasar
Jacarandromeda,Jacaranda,Andromeda
Ceibulsar,Ceiba,Pulsar
Titan Brasil,Titan,Pau Brasil
Monkeynebula,Monkey Puzzle,Nebula
Quebrachomeda,Quebracho,Andromeda
Lapachogalaxy,Lapacho,Galaxy
Rubbersar,Rubber Tree,Quasar
Cashewmeda,Cashew,Andromeda
Nutcluster,Brazil Nut,Cluster
Cecropioway,Cecropia,Milky Way
Balsanebula,Balsa,Nebula
Rosewoodway,Rosewood,Milky Way
Ipegalaxy,Ipe,Galaxy
Kapoksar,Kapok,Quasar
Cedrellaxy,Cedrella,Galaxy
Alercenova,Alerce,Supernova
Mahogalactic,Mahogany,Galactic
Sculptorbrasil,Sculptor Galaxy,Pau Brasil
Ceibomeda,Ceiba,Andromeda
Araucarionway,Araucaria,Milky Way
Quebrachion,Quebracho,Orion
Lapachohole,Lapacho,Black Hole
Guanacastromeda,Guanacaste,Andromeda
Jacaranebula,Jacaranda,Nebula
Ceibagalaxy,Ceiba,Galaxy
Europa Brasil,Europa,Pau Brasil
Monkeypuzzar,Monkey Puzzle,Quasar
Quebrachnova,Quebracho,Supernova
Lapachoides,Lapacho,Hyades
Rubbermeda,Rubber Tree,Andromeda
Cashewnova,Cashew,Supernova
Nutway,Brazil Nut,Milky Way
Cecropiagalaxy,Cecropia,Galaxy
Balsaquila,Balsa,Aquila
Rosewoodsar,Rosewood,Quasar
Ipecentauri,Ipe,Alpha Centauri
Kapokgalaxy,Kapok,Galaxy
Cedrellaneta,Cedrella,Planetary Nebula
Alercemeda,Alerce,Andromeda
Mahoganova,Mahogany,Supernova
Boomerangbrasil,Boomerang Nebula,Pau Brasil
Ceibulsar,Ceiba,Pulsar
Pau Brasilades,Pau Brasil,Pleiades
Araucagalaxy,Araucaria,Galaxy
Quebrachomeda,Quebracho,Andromeda
Lapachosar,Lapacho,Quasar
Guanacastellum,Guanacaste,Magellanic
Jacaranovae,Jacaranda,Supernova
Ceibaway,Ceiba,Milky Way
Enceladnut,Enceladus,Brazil Nut
Monkeynebula,Monkey Puzzle,Nebula
Quebrachogalaxy,Quebracho,Galaxy
Lapachonova,Lapacho,Supernova
Rubberion,Rubber Tree,Orion
Cashewgalaxy,Cashew,Galaxy
Nutsagittarius,Brazil Nut,Sagittarius
Cecropia A*,Cecropia,Sagittarius A*
Balsanova,Balsa,Supernova
Rosewoodmeda,Rosewood,Andromeda
Ipesar,Ipe,Quasar
Kapokway,Kapok,Milky Way
Cedrellipse,Cedrella,Ellipse
Alercenebula,Alerce,Nebula
Mahogaring,Mahogany,Ring Nebula
Cat's Eye Brasil,Cat's Eye,Pau Brasil
Ceibomeda,Ceiba,Andromeda
Araucarionebula,Araucaria,Orion Nebula
Quebrachoides,Quebracho,Hyades
Lapachogalaxy,Lapacho,Galaxy
Guanacastar,Guanacaste,Quasar
Jacarandromeda,Jacaranda,Andromeda
Ceibaneta,Ceiba,Planetary Nebula
Ganymede Brasil,Ganymede,Pau Brasil
Monkeypuzzalaxy,Monkey Puzzle,Galaxy
Quebrachonova,Quebracho,Supernova
Lapachomeda,Lapacho,Andromeda
Rubbersar,Rubber Tree,Quasar
Cashewnebula,Cashew,Nebula
Nutgalaxy,Brazil Nut,Galaxy
Cecropiomeda,Cecropia,Andromeda
Balsagittarius,Balsa,Sagittarius
Rosewoodion,Rosewood,Orion
Ipeleiades,Ipe,Pleiades
Kapoknova,Kapok,Supernova
Cedrellaxy,Cedrella,Galaxy
Alercegalaxy,Alerce,Galaxy
Mahogacrab,Mahogany,Crab
Dumbbell Brasil,Dumbbell Nebula,Pau Brasil
